Timestamp,Yaw_Angle(degrees),Hex_Byte0,Hex_Byte1,Hex_Byte2,Hex_Byte3,Hex_Byte4,Hex_Byte5,Hex_All
2025-10-25 13:23:31,-15.44,0xff,0x96,0xff,0x77,0x86,0x98,ff 96 ff 77 86 98 00 00
2025-10-25 13:23:31,-15.44,0xff,0x96,0xff,0x77,0x86,0x98,ff 96 ff 77 86 98 00 00
2025-10-25 13:23:31,-15.69,0xff,0xc2,0xff,0x5e,0x86,0x7f,ff c2 ff 5e 86 7f 00 00
2025-10-25 13:23:31,-15.69,0xff,0xc2,0xff,0x5e,0x86,0x7f,ff c2 ff 5e 86 7f 00 00
2025-10-25 13:23:31,-15.69,0xff,0xc2,0xff,0x5e,0x86,0x7f,ff c2 ff 5e 86 7f 00 00
2025-10-25 13:23:31,-16,0xff,0xee,0xff,0x51,0x86,0x60,ff ee ff 51 86 60 00 00
2025-10-25 13:23:31,-16,0xff,0xee,0xff,0x51,0x86,0x60,ff ee ff 51 86 60 00 00
2025-10-25 13:23:31,-15.88,0xff,0xdb,0xff,0x8a,0x86,0x6c,ff db ff 8a 86 6c 00 00
2025-10-25 13:23:31,-15.88,0xff,0xdb,0xff,0x8a,0x86,0x6c,ff db ff 8a 86 6c 00 00
2025-10-25 13:23:31,-15.88,0xff,0xdb,0xff,0x8a,0x86,0x6c,ff db ff 8a 86 6c 00 00
2025-10-25 13:23:31,-15.63,0xff,0xc8,0xff,0x96,0x86,0x85,ff c8 ff 96 86 85 00 00
2025-10-25 13:23:31,-15.63,0xff,0xc8,0xff,0x96,0x86,0x85,ff c8 ff 96 86 85 00 00
2025-10-25 13:23:31,-15.63,0xff,0xc8,0xff,0x96,0x86,0x85,ff c8 ff 96 86 85 00 00
2025-10-25 13:23:31,-15.88,0xff,0xdb,0xff,0x8a,0x86,0x6c,ff db ff 8a 86 6c 00 00
2025-10-25 13:23:31,-15.88,0xff,0xdb,0xff,0x8a,0x86,0x6c,ff db ff 8a 86 6c 00 00
2025-10-25 13:23:31,-15.88,0xff,0xdb,0xff,0x8a,0x86,0x6c,ff db ff 8a 86 6c 00 00
2025-10-25 13:23:31,-15.94,0x00,0x00,0xff,0x6a,0x86,0x66,00 00 ff 6a 86 66 00 00
2025-10-25 13:23:31,-15.94,0x00,0x00,0xff,0x6a,0x86,0x66,00 00 ff 6a 86 66 00 00
2025-10-25 13:23:31,-16.19,0x00,0x1f,0xff,0x58,0x86,0x4d,00 1f ff 58 86 4d 00 00
2025-10-25 13:23:31,-16.19,0x00,0x1f,0xff,0x58,0x86,0x4d,00 1f ff 58 86 4d 00 00
2025-10-25 13:23:31,-16.19,0x00,0x1f,0xff,0x58,0x86,0x4d,00 1f ff 58 86 4d 00 00
2025-10-25 13:23:31,-16.57,0x00,0x38,0xff,0x45,0x86,0x27,00 38 ff 45 86 27 00 00
2025-10-25 13:23:31,-16.57,0x00,0x38,0xff,0x45,0x86,0x27,00 38 ff 45 86 27 00 00
2025-10-25 13:23:31,-16.19,0x00,0x19,0xff,0x71,0x86,0x4d,00 19 ff 71 86 4d 00 00
2025-10-25 13:23:31,-16.19,0x00,0x19,0xff,0x71,0x86,0x4d,00 19 ff 71 86 4d 00 00
2025-10-25 13:23:31,-16.19,0x00,0x19,0xff,0x71,0x86,0x4d,00 19 ff 71 86 4d 00 00
2025-10-25 13:23:31,-15.88,0xff,0xf4,0xff,0x83,0x86,0x6c,ff f4 ff 83 86 6c 00 00
2025-10-25 13:23:31,-15.88,0xff,0xf4,0xff,0x83,0x86,0x6c,ff f4 ff 83 86 6c 00 00
2025-10-25 13:23:31,-15.63,0xff,0xce,0xff,0x90,0x86,0x85,ff ce ff 90 86 85 00 00
2025-10-25 13:23:31,-15.63,0xff,0xce,0xff,0x90,0x86,0x85,ff ce ff 90 86 85 00 00
2025-10-25 13:23:31,-15.69,0xff,0xb5,0xff,0x83,0x86,0x7f,ff b5 ff 83 86 7f 00 00
